n_points,k,seq_time_ms,omp_time_ms
10000,2,1.0061,1.95483
10000,6,30.998,16.863
10000,10,58.0029,20.9919
10000,20,118.995,31.998
10000,50,337.993,70.0859
10000,100,617.003,82.1589
50000,2,20.0071,10.49
50000,6,399.001,80.9912
50000,10,452.992,72.2788
50000,20,1818.99,238.293
50000,50,4044,514.808
50000,100,8846.54,1284
100000,2,71.999,24.4351
100000,6,71.9919,13.2019
100000,10,637.001,89.2439
100000,20,4718,575.295
100000,50,7096,856.655
100000,100,25787,3144.22
300000,2,75.9971,28.314
300000,6,3785.01,612.167
300000,10,5863.51,938.002
300000,20,7550.01,937.223
300000,50,103472,14434
300000,100,99275.2,12711.3
500000,2,217.003,81.9941
500000,6,6319,886.988
500000,10,4718,751.998
500000,20,27222,3289.17
500000,50,85747.7,11252.2
500000,100,225898,29468.5
1000000,2,416.999,135.253
1000000,6,39867.6,5755.15
1000000,10,22465.5,3381.48
1000000,20,65768.6,7781.26
1000000,50,98963.1,12876.1
1000000,100,308552,41016.5
